date,product,demand,lead_time_days,material_available,supplier_delay,machine_capacity,machine_downtime,labor_available,absenteeism,effective_labor,effective_capacity,effective_material,month,day_of_week,lag_1,lag_7
2023-01-08,Headphones,145,4,136,0,172,0,117,0,117.0,172.0,136.0,1,6,145.0,153.0
2023-01-09,Headphones,147,6,209,0,248,0,95,0,95.0,248.0,209.0,1,0,145.0,132.0
2023-01-10,Headphones,150,6,160,1,154,1,101,0,101.0,107.8,96.0,1,1,147.0,149.0
2023-01-11,Headphones,167,4,222,0,188,0,137,0,137.0,188.0,222.0,1,2,150.0,142.0
2023-01-12,Headphones,161,3,136,0,220,1,163,1,130.4,154.0,136.0,1,3,167.0,163.0
2023-01-13,Headphones,173,4,132,0,154,0,160,0,160.0,154.0,132.0,1,4,161.0,145.0
2023-01-14,Headphones,162,7,106,0,226,0,167,1,133.6,226.0,106.0,1,5,173.0,145.0
2023-01-15,Headphones,161,9,111,1,222,0,156,0,156.0,222.0,66.6,1,6,162.0,145.0
2023-01-16,Headphones,163,3,162,0,178,0,108,0,108.0,178.0,162.0,1,0,161.0,147.0
2023-01-17,Headphones,178,3,217,0,131,0,143,1,114.4,131.0,217.0,1,1,163.0,150.0
2023-01-18,Headphones,166,7,157,1,219,1,122,0,122.0,153.29999999999998,94.2,1,2,178.0,167.0
2023-01-19,Headphones,162,4,180,0,201,0,140,0,140.0,201.0,180.0,1,3,166.0,161.0
2023-01-20,Headphones,185,3,163,0,139,1,113,0,113.0,97.3,163.0,1,4,162.0,173.0
2023-01-21,Headphones,174,7,192,1,237,1,159,0,159.0,165.89999999999998,115.19999999999999,1,5,185.0,162.0
2023-01-22,Headphones,181,2,162,0,149,0,133,0,133.0,149.0,162.0,1,6,174.0,161.0
2023-01-23,Headphones,158,10,131,1,160,0,157,0,157.0,160.0,78.6,1,0,181.0,163.0
2023-01-24,Headphones,172,7,185,0,193,0,145,0,145.0,193.0,185.0,1,1,158.0,178.0
2023-01-25,Headphones,166,6,205,1,245,1,108,0,108.0,171.5,123.0,1,2,172.0,166.0
2023-01-26,Headphones,186,6,191,1,165,0,100,1,80.0,165.0,114.6,1,3,166.0,162.0
2023-01-27,Headphones,169,3,113,0,139,0,101,0,101.0,139.0,113.0,1,4,186.0,185.0
2023-01-28,Headphones,170,9,131,1,247,0,114,0,114.0,247.0,78.6,1,5,169.0,174.0
2023-01-29,Headphones,170,7,196,0,225,0,92,0,92.0,225.0,196.0,1,6,170.0,181.0
2023-01-30,Headphones,162,5,216,1,149,1,112,0,112.0,104.3,129.6,1,0,170.0,158.0
2023-01-31,Headphones,173,3,139,0,191,0,131,0,131.0,191.0,139.0,1,1,162.0,172.0
2023-02-01,Headphones,161,2,161,0,170,0,129,0,129.0,170.0,161.0,2,2,173.0,166.0
2023-02-02,Headphones,161,6,104,0,154,0,100,0,100.0,154.0,104.0,2,3,161.0,186.0
2023-02-03,Headphones,180,5,232,1,213,0,116,0,116.0,213.0,139.2,2,4,161.0,169.0
2023-02-04,Headphones,160,7,207,0,143,0,102,0,102.0,143.0,207.0,2,5,180.0,170.0
2023-02-05,Headphones,162,2,111,0,183,0,136,0,136.0,183.0,111.0,2,6,160.0,170.0
2023-02-06,Headphones,163,3,223,0,167,0,110,0,110.0,167.0,223.0,2,0,162.0,162.0
2023-02-07,Headphones,169,3,235,0,163,0,120,0,120.0,163.0,235.0,2,1,163.0,173.0
2023-02-08,Headphones,179,2,189,0,130,0,126,0,126.0,130.0,189.0,2,2,169.0,161.0
2023-02-09,Headphones,176,7,231,0,240,0,178,0,178.0,240.0,231.0,2,3,179.0,161.0
2023-02-10,Headphones,158,3,242,0,180,0,149,0,149.0,180.0,242.0,2,4,176.0,180.0
2023-02-11,Headphones,170,5,102,1,167,0,118,0,118.0,167.0,61.199999999999996,2,5,158.0,160.0
2023-02-12,Headphones,165,6,207,1,188,0,179,0,179.0,188.0,124.19999999999999,2,6,170.0,162.0
2023-02-13,Headphones,174,3,177,0,247,0,172,1,137.6,247.0,177.0,2,0,165.0,163.0
2023-02-14,Headphones,158,10,106,1,123,0,176,0,176.0,123.0,63.599999999999994,2,1,174.0,169.0
2023-02-15,Headphones,151,4,240,0,142,0,148,0,148.0,142.0,240.0,2,2,158.0,179.0
2023-02-16,Headphones,150,5,190,1,137,0,168,0,168.0,137.0,114.0,2,3,151.0,176.0
2023-02-17,Headphones,162,9,249,1,204,0,106,0,106.0,204.0,149.4,2,4,150.0,158.0
2023-02-18,Headphones,149,7,224,0,140,1,100,0,100.0,98.0,224.0,2,5,162.0,170.0
2023-02-19,Headphones,160,2,230,0,222,0,158,0,158.0,222.0,230.0,2,6,149.0,165.0
2023-02-20,Headphones,137,6,166,1,150,0,103,0,103.0,150.0,99.6,2,0,160.0,174.0
2023-02-21,Headphones,148,7,143,0,151,0,161,0,161.0,151.0,143.0,2,1,137.0,158.0
2023-02-22,Headphones,138,5,102,0,172,0,105,0,105.0,172.0,102.0,2,2,148.0,151.0
2023-02-23,Headphones,153,3,131,0,148,0,145,0,145.0,148.0,131.0,2,3,138.0,150.0
2023-02-24,Headphones,157,10,154,1,194,0,137,0,137.0,194.0,92.39999999999999,2,4,153.0,162.0
2023-02-25,Headphones,143,5,113,0,197,0,125,0,125.0,197.0,113.0,2,5,157.0,149.0
2023-02-26,Headphones,132,7,164,0,235,0,127,0,127.0,235.0,164.0,2,6,143.0,160.0
2023-02-27,Headphones,149,6,111,0,220,0,151,0,151.0,220.0,111.0,2,0,132.0,137.0
2023-02-28,Headphones,149,4,104,0,131,0,99,0,99.0,131.0,104.0,2,1,149.0,148.0
2023-03-01,Headphones,150,5,196,0,207,0,118,0,118.0,207.0,196.0,3,2,149.0,138.0
2023-03-02,Headphones,126,7,113,0,226,0,133,0,133.0,226.0,113.0,3,3,150.0,153.0
2023-03-03,Headphones,146,2,112,0,237,0,102,0,102.0,237.0,112.0,3,4,126.0,157.0
2023-03-04,Headphones,146,5,181,0,126,0,171,0,171.0,126.0,181.0,3,5,146.0,143.0
2023-03-05,Headphones,142,6,196,0,126,0,169,1,135.20000000000002,126.0,196.0,3,6,146.0,132.0
2023-03-06,Headphones,130,2,186,0,126,0,146,0,146.0,126.0,186.0,3,0,142.0,149.0
2023-03-07,Headphones,137,7,234,1,144,0,159,0,159.0,144.0,140.4,3,1,130.0,149.0
2023-03-08,Headphones,143,2,172,0,147,0,137,0,137.0,147.0,172.0,3,2,137.0,150.0
2023-03-09,Headphones,136,8,190,1,242,0,122,0,122.0,242.0,114.0,3,3,143.0,126.0
2023-03-10,Headphones,130,3,213,0,120,0,120,0,120.0,120.0,213.0,3,4,136.0,146.0
2023-03-11,Headphones,142,6,248,1,239,0,161,0,161.0,239.0,148.79999999999998,3,5,130.0,146.0
2023-03-12,Headphones,131,6,101,0,168,0,151,0,151.0,168.0,101.0,3,6,142.0,142.0
2023-03-13,Headphones,132,7,138,0,229,0,115,0,115.0,229.0,138.0,3,0,131.0,130.0
2023-03-14,Headphones,142,3,197,0,240,0,111,0,111.0,240.0,197.0,3,1,132.0,137.0
2023-03-15,Headphones,148,8,113,1,130,0,157,0,157.0,130.0,67.8,3,2,142.0,143.0
